droughtDate,droughtLvl,areaPct,fireName,county,acres,fireDate,countyList,countyCount
16/06/2020,D1,46.74,Bear,Santa Cruz,391,16/10/2017,,
16/06/2020,D2,20.84,Buffalo Fire,San Diego,"1,088",17/10/2017,,
16/06/2020,D3,2.45,Wildomar,Riverside,866,27/10/2017,,
16/06/2020,D4,0,Thomas,Ventura,"281,893",04/12/2017,,
09/06/2020,D0,58.21,Creek,Los Angeles,"15,619",05/12/2017,,
09/06/2020,D1,46.74,Rye,Los Angeles,"6,049",05/12/2017,,
09/06/2020,D2,20.84,Little Mountain,San Bernardino,260,05/12/2017,,
09/06/2020,D3,2.45,Skirball,Los Angeles,422,06/12/2017,,
09/06/2020,D4,0,Lilac,San Diego,"4,100",07/12/2017,,
02/06/2020,D0,58.2,Liberty,Riverside,300,07/12/2017,,
02/06/2020,D1,46.67,Roberts,San Luis Obispo,"3,712",18/05/2016,,
02/06/2020,D2,20.84,Metz,Monterey,"3,876",22/05/2016,,
02/06/2020,D3,2.97,Coleman,Monterey,"2,520",04/06/2016,,
02/06/2020,D4,0,Pony,Siskiyou,"2,860",07/06/2016,,
26/05/2020,D0,58.2,Sherpa,Santa Barbara,"7,474",15/06/2016,,
26/05/2020,D1,46.67,Border,San Diego,"7,609",19/06/2016,,
26/05/2020,D2,20.84,Pine,Ventura,"2,304",19/06/2016,,
26/05/2020,D3,2.97,San Gabriel Complex,Los Angeles,"5,399",20/06/2016,,
26/05/2020,D4,0,Erskine,Kern,"48,019",23/06/2016,,
19/05/2020,D0,58.2,Trailhead,Placer,"5,646",28/06/2016,,
19/05/2020,D1,46.67,Deer,Kern,"1,785",01/07/2016,,
19/05/2020,D2,20.84,Curry,Fresno,"2,944",01/07/2016,,
19/05/2020,D3,2.97,Sage,Los Angeles,"1,109",09/07/2016,,
19/05/2020,D4,0,Roblar,San Diego,"1,245",21/07/2016,,
12/05/2020,D0,58.2,Sand,Los Angeles,"41,432",22/07/2016,,
12/05/2020,D1,46.67,Soberanes,Monterey,"132,100",22/07/2016,,
